fable_group,fable_commodity,pakistani_name_mapping,year,production_million_tonnes,imports_million_tonnes,exports_million_tonnes,balance_million_tonnes,import_value_usd,export_value_usd
CEREALS,Rice (paddy),Basmati Rice + IRRI Rice,2023,9.85924,0.010323082,6.72428258,3.1452805019999994,38506236.14,2860635610.78
CEREALS,Rice (paddy),Basmati Rice + IRRI Rice,2024,9.72346,0.014961058,9.647448322,0.09097273599999944,57283348.53,4193488421.82
CEREALS,Rice (paddy),Basmati Rice + IRRI Rice,2025,,0.01523861,6.80104573,,58372309.34,2426457981.14
CEREALS,Corn / Maize,Maize,2000,1.6433,0.005466212,0.000145609,1.648620603,7200580.66,206831.0
CEREALS,Corn / Maize,Maize,2001,1.6644,0.002557833,3.956e-06,1.666953877,4043316.08,4649.0
CEREALS,Corn / Maize,Maize,2002,1.7370999999999999,0.005325542,3.6203e-05,1.7423893389999998,7093418.46,15971.0
CEREALS,Corn / Maize,Maize,2003,1.8974000000000002,0.039811,0.00060032,1.9366106800000003,10961989.0,257802.0
CEREALS,Corn / Maize,Maize,2004,2.797,0.040105119,0.0005268,2.8365783190000005,11065925.0,137157.0
CEREALS,Corn / Maize,Maize,2005,3.1096,0.028204489,0.0014336,3.136370889,20646208.0,390915.0
CEREALS,Corn / Maize,Maize,2006,3.0884,0.006819198,0.004689688,3.09052951,20404116.0,1149563.0
CEREALS,Corn / Maize,Maize,2007,3.6047,0.008367484,0.000974299,3.6120931849999995,19306146.0,384110.0
CEREALS,Corn / Maize,Maize,2008,3.593,0.15098152,0.07113972,3.6728418,63790438.0,20979843.0
CEREALS,Corn / Maize,Maize,2009,3.2615,0.02919656,0.2401248,3.05057176,33400250.0,47050253.0
CEREALS,Corn / Maize,Maize,2010,3.707,0.009008983,0.01148424,3.704524743,20163148.0,2300150.0
CEREALS,Corn / Maize,Maize,2011,4.3383,0.01339504,0.256206125,4.095488915,35911232.0,71843954.0
CEREALS,Corn / Maize,Maize,2012,4.2201,0.01777548,0.366490847,3.8713846330000004,42109594.0,99675864.0
CEREALS,Corn / Maize,Maize,2013,4.9441999999999995,0.02437012,0.13883952,4.8297305999999995,61648703.0,32514408.0
CEREALS,Corn / Maize,Maize,2014,4.9368,0.02327804,0.0160092,4.94406884,66201415.0,4809914.0
CEREALS,Corn / Maize,Maize,2015,5.337,0.02398676,0.063386658,5.297600102,53271112.0,12117733.0
CEREALS,Corn / Maize,Maize,2016,6.1343000000000005,0.06445256,0.06109144,6.137661120000001,48475588.0,12504739.0
CEREALS,Corn / Maize,Maize,2017,5.9016,0.0351234,0.02891376,5.90780964,55386225.29,6665974.76
CEREALS,Corn / Maize,Maize,2018,6.8263,0.02833876,0.00848784,6.8461509199999995,81181333.49,1722295.71
CEREALS,Corn / Maize,Maize,2019,7.883,0.020250481,0.13661076,7.766639721,52007272.07,29985896.33
CEREALS,Corn / Maize,Maize,2020,8.94,0.025219379,0.07044328,8.894776099,56664594.92,13157482.76
CEREALS,Corn / Maize,Maize,2021,9.5245,0.028980501,0.355189694,9.198290807,72823911.87,107170046.84
CEREALS,Corn / Maize,Maize,2022,10.984509,0.034592,0.79224424,10.226856759999999,87627692.88,260757779.63
CEREALS,Corn / Maize,Maize,2023,9.739120000000002,0.003799,1.506464155,8.236454845000003,71826035.91,346669321.01
CEREALS,Corn / Maize,Maize,2024,9.03481,0.028434066,1.23511204,7.828132026000001,68316006.07,291110181.23
CEREALS,Corn / Maize,Maize,2025,,0.029951,0.44355332,,73921857.9,110496702.51
CEREALS,Millet,Bajra,2000,0.199,,4.0036e-05,,,17009.0
CEREALS,Millet,Bajra,2001,0.2164,,,,,
CEREALS,Millet,Bajra,2002,0.18919999999999998,,2.45e-06,,,891.0
CEREALS,Millet,Bajra,2003,0.2737,1.7e-05,2.2e-05,0.27369499999999997,2128.0,5642.0
CEREALS,Millet,Bajra,2004,0.1933,1e-05,0.0,0.19331,2151.0,0.0
CEREALS,Millet,Bajra,2005,0.22080000000000002,0.002231,1e-06,0.22303000000000003,428584.0,149.0
CEREALS,Millet,Bajra,2006,0.238,0.000356,3.5e-05,0.23832099999999998,72172.0,9955.0
CEREALS,Millet,Bajra,2007,0.305,0.001069678,6e-05,0.306009678,356052.0,13651.0
CEREALS,Millet,Bajra,2008,0.2964,0.006331,8.6e-05,0.302645,1142626.0,21759.0
CEREALS,Millet,Bajra,2009,0.293,0.006027,0.000861,0.298166,1438374.0,176831.0
CEREALS,Millet,Bajra,2010,0.346,0.007508,0.000147,0.353361,1938452.0,30852.0
CEREALS,Millet,Bajra,2011,0.30410000000000004,0.033023,0.000149219,0.3369737810000001,8429414.0,40510.0
CEREALS,Millet,Bajra,2012,0.31060000000000004,0.005282005,2.1e-05,0.31586100500000003,1211276.0,4615.0
CEREALS,Millet,Bajra,2013,0.301,0.004316,0.000209,0.30510699999999996,937894.0,93032.0
CEREALS,Millet,Bajra,2014,0.2945,0.009481,0.000164,0.303817,1855318.0,14826.0
CEREALS,Millet,Bajra,2015,0.29960000000000003,0.042923,0.000529,0.341994,7930460.0,87985.0
CEREALS,Millet,Bajra,2016,0.3049,0.015685,0.000739,0.319846,3716468.0,143905.0
CEREALS,Millet,Bajra,2017,0.339,0.018631,0.001904,0.355727,5793417.49,592956.84
CEREALS,Millet,Bajra,2018,0.35,0.017831,0.001351,0.36648,5355828.02,353288.69
CEREALS,Millet,Bajra,2019,0.38430000000000003,0.009492,0.009106,0.38468600000000003,4603090.57,2284978.01
CEREALS,Millet,Bajra,2020,0.2661,0.001168131,0.012377,0.254891131,228053.28,3017565.77
CEREALS,Millet,Bajra,2021,0.2263,0.003907,0.001279,0.228928,370475.5,105054.13
CEREALS,Millet,Bajra,2022,0.2562,0.006874,0.003032,0.260042,381130.26,621133.99
CEREALS,Millet,Bajra,2023,0.29436,0.002274,0.003351,0.293283,494070.98,836106.67
CEREALS,Millet,Bajra,2024,0.25188,0.001471,0.008497,0.244854,294099.41,2333099.34
CEREALS,Millet,Bajra,2025,,0.017477,0.000862,,3916530.94,168969.03
CEREALS,Sorghum,Jowar,2000,0.2181,,2e-09,,,510.0
CEREALS,Sorghum,Jowar,2001,0.2216,3.1165e-05,,,38874.0,
CEREALS,Sorghum,Jowar,2002,0.2026,0.000334846,3e-09,0.202934843,79130.0,589.0
CEREALS,Sorghum,Jowar,2003,0.2381,0.0,0.0,0.2381,0.0,0.0
CEREALS,Sorghum,Jowar,2004,0.1864,9.1e-05,0.0,0.18649100000000002,291090.0,0.0
CEREALS,Sorghum,Jowar,2005,0.15259999999999999,0.000262,1.8e-05,0.152844,54980.0,6979.0
CEREALS,Sorghum,Jowar,2006,0.1795,0.00041,0.0,0.17991,102412.0,0.0
CEREALS,Sorghum,Jowar,2007,0.1701,0.000195,7e-05,0.17022500000000002,113627.0,15677.0
CEREALS,Sorghum,Jowar,2008,0.1645,0.000559,0.0,0.165059,145203.0,0.0
CEREALS,Sorghum,Jowar,2009,0.1541,0.003325,4.9e-05,0.157376,731949.0,13553.0
CEREALS,Sorghum,Jowar,2010,0.1412,0.024937,9e-06,0.16612799999999997,6540133.0,3652.0
CEREALS,Sorghum,Jowar,2011,0.1371,0.000571263,0.0,0.137671263,148383.0,0.0
CEREALS,Sorghum,Jowar,2012,0.1225,0.000476,0.0,0.122976,158597.0,0.0
CEREALS,Sorghum,Jowar,2013,0.12290000000000001,0.000355,3.8e-05,0.12321700000000001,123302.0,13739.0
CEREALS,Sorghum,Jowar,2014,0.1145,0.000841,0.0,0.115341,192581.0,0.0
CEREALS,Sorghum,Jowar,2015,0.1605,0.024686,0.0,0.18518600000000002,6011315.0,0.0
CEREALS,Sorghum,Jowar,2016,0.1487,0.138247,0.0,0.286947,45411794.0,0.0
CEREALS,Sorghum,Jowar,2017,0.1527,0.000354,8.2e-05,0.152972,149481.82,16098.12
CEREALS,Sorghum,Jowar,2018,0.14880000000000002,0.035104,0.0,0.183904,8091603.11,0.0
CEREALS,Sorghum,Jowar,2019,0.1206,0.000348,3.7e-05,0.120911,87435.44,19725.75
CEREALS,Sorghum,Jowar,2020,0.096,0.001704,0.0,0.097704,441086.12,0.0
CEREALS,Sorghum,Jowar,2021,0.0639,0.004417,0.0,0.068317,1072966.21,0.0
CEREALS,Sorghum,Jowar,2022,0.04868,0.003839,2e-06,0.052517,822750.29,683.47
CEREALS,Sorghum,Jowar,2023,0.03864,0.004558,2e-06,0.043196,1145072.46,1064.54
CEREALS,Sorghum,Jowar,2024,0.037700000000000004,0.004634,5e-05,0.042284,1185968.91,11282.71
CEREALS,Sorghum,Jowar,2025,,0.007537,0.000286,,1900095.33,54200.63
CEREALS,Barley,Barley,2000,0.0989,0.000518985,0.0003,0.099118985,69022.0,190667.0
CEREALS,Barley,Barley,2001,0.0998,0.000192295,0.000752834,0.099239461,36590.0,167661.0
CEREALS,Barley,Barley,2002,0.0996,0.00040764,0.00010506,0.09990257999999999,80415.0,7533.0
CEREALS,Barley,Barley,2003,0.09759999999999999,0.000224,0.001778,0.09604599999999999,37754.0,229571.0
CEREALS,Barley,Barley,2004,0.0917,0.000348304,0.001595,0.090453304,74331.0,208006.0
CEREALS,Barley,Barley,2005,0.0875,0.00322845,5.5e-05,0.09067344999999999,741480.0,11222.0
CEREALS,Barley,Barley,2006,0.0927,0.001045,0.000647,0.09309800000000001,236587.0,157563.0
CEREALS,Barley,Barley,2007,0.0874,0.001352,0.006707,0.082045,326842.0,1260209.0
CEREALS,Barley,Barley,2008,0.0815,0.001728,0.003151695,0.080076305,554465.0,323069.0
CEREALS,Barley,Barley,2009,0.0714,0.006518,0.0,0.077918,1544181.0,0.0
CEREALS,Barley,Barley,2010,0.0712,0.005371222,0.00025,0.076321222,1328198.0,42629.0
CEREALS,Barley,Barley,2011,0.06570000000000001,0.00183829,0.002785,0.06475329000000002,792066.0,598520.0
CEREALS,Barley,Barley,2012,0.06720000000000001,0.003377322,0.0,0.07057732200000001,883998.0,0.0
CEREALS,Barley,Barley,2013,0.0665,0.001578,0.000353,0.067725,621358.0,66233.0
CEREALS,Barley,Barley,2014,0.0628,0.001968433,0.002156,0.062612433,764192.0,281231.0
CEREALS,Barley,Barley,2015,0.0606,0.011999252,0.000333659,0.072265593,3301898.0,66983.0
CEREALS,Barley,Barley,2016,0.058,0.044310609,2.2e-05,0.102288609,12272640.0,6193.0
CEREALS,Barley,Barley,2017,0.0551,0.009030202,5e-06,0.06412520199999999,2111883.81,2574.32
CEREALS,Barley,Barley,2018,0.0677,0.018081142,0.0,0.085781142,4728769.74,0.0
CEREALS,Barley,Barley,2019,0.048,0.01047126,1e-06,0.058470259999999996,3217199.32,1236.89
CEREALS,Barley,Barley,2020,0.0419,0.006452048,0.0003517,0.048000348,1951089.13,77955.33
CEREALS,Barley,Barley,2021,0.038,0.005445567,0.001692,0.041753567,2096563.01,225249.59
CEREALS,Barley,Barley,2022,0.0436,0.006811062,0.000182,0.050229062,3263911.54,16077.47
CEREALS,Barley,Barley,2023,0.04388,0.009248023,2e-06,0.053126023,3710199.23,217.6
CEREALS,Barley,Barley,2024,0.044969999999999996,0.013435264,1e-06,0.058404264,4056470.98,109.81
CEREALS,Barley,Barley,2025,,0.006829564,0.0,,3252759.36,0.0
CEREALS,Oats,Not grown in Pakistan,2000,,,,,,
CEREALS,Oats,Not grown in Pakistan,2001,,3.7e-05,,,5439.0,
CEREALS,Oats,Not grown in Pakistan,2002,,,7e-07,,,1388.0
CEREALS,Oats,Not grown in Pakistan,2003,,0.0,4e-06,,0.0,623.0
CEREALS,Oats,Not grown in Pakistan,2004,,0.0,0.0,,0.0,0.0
CEREALS,Oats,Not grown in Pakistan,2005,,0.008615,0.0,,2143759.0,0.0
CEREALS,Oats,Not grown in Pakistan,2006,,0.009289004,0.0,,2386980.0,0.0
CEREALS,Oats,Not grown in Pakistan,2007,,0.000842,0.0,,199548.0,0.0
CEREALS,Oats,Not grown in Pakistan,2008,,0.000273,0.0,,87343.0,0.0
CEREALS,Oats,Not grown in Pakistan,2009,,0.001014,1e-06,,260708.0,374.0
CEREALS,Oats,Not grown in Pakistan,2010,,0.021649,0.0,,4999990.0,0.0
CEREALS,Oats,Not grown in Pakistan,2011,,0.000457,0.0,,181012.0,0.0
CEREALS,Oats,Not grown in Pakistan,2012,,0.004154,0.0,,1599168.0,0.0
CEREALS,Oats,Not grown in Pakistan,2013,,0.000347,3.2e-05,,93217.0,10129.0
CEREALS,Oats,Not grown in Pakistan,2014,,0.0057,0.0,,1416169.0,0.0
CEREALS,Oats,Not grown in Pakistan,2015,,0.041691,0.0,,9234033.0,0.0
CEREALS,Oats,Not grown in Pakistan,2016,,0.012096,3e-05,,3681206.0,8661.0
CEREALS,Oats,Not grown in Pakistan,2017,,0.029448,3.9e-05,,7284080.01,1173.0
CEREALS,Oats,Not grown in Pakistan,2018,,0.001462,0.0,,385343.44,0.0
CEREALS,Oats,Not grown in Pakistan,2019,,0.0018,2e-06,,553112.79,1157.41
CEREALS,Oats,Not grown in Pakistan,2020,,0.004698,0.0,,1176578.45,12687.6
